candidat,parti,candidat_presidentielle,retrait_candidature,nombre_mentions,mention_1,mention_2,mention_3,mention_4,mention_5,mention_6,mention_7,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,id,nom_institut,commanditaire,debut_enquete,fin_enquete,echantillon,population,hypothese
Laurent Wauquiez,Les Républicains,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,3,30,35,11,18,3,0,20220112_0113_ifp,IFOP,"Paris Match, Sud Radio",2022-01-12,2022-01-13,1009,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Gabriel Attal,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,3,35,27,10,22,3,0,20220112_0113_ifp,IFOP,"Paris Match, Sud Radio",2022-01-12,2022-01-13,1009,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Yannick Jadot,EE-LV,True,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,3,32,30,9,22,4,0,20220112_0113_ifp,IFOP,"Paris Match, Sud Radio",2022-01-12,2022-01-13,1009,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Jean-Michel Blanquer,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,2,31,33,14,17,3,0,20220112_0113_ifp,IFOP,"Paris Match, Sud Radio",2022-01-12,2022-01-13,1009,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Jean-Luc Mélenchon,France insoumise,True,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,8,31,35,23,3,0,0,20220112_0113_ifp,IFOP,"Paris Match, Sud Radio",2022-01-12,2022-01-13,1009,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Marine Le Pen,Rassemblement national,True,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,9,31,28,29,3,0,0,20220112_0113_ifp,IFOP,"Paris Match, Sud Radio",2022-01-12,2022-01-13,1009,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Eric Dupont-Moretti,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,4,30,28,16,18,4,0,20220112_0113_ifp,IFOP,"Paris Match, Sud Radio",2022-01-12,2022-01-13,1009,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Marlène Schiappa,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,4,29,32,13,20,2,0,20220112_0113_ifp,IFOP,"Paris Match, Sud Radio",2022-01-12,2022-01-13,1009,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Eric Zemmour,,True,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,9,18,22,44,5,2,0,20220112_0113_ifp,IFOP,"Paris Match, Sud Radio",2022-01-12,2022-01-13,1009,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Fabien Roussel,Parti communiste,True,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,5,20,18,3,43,11,0,20220112_0113_ifp,IFOP,"Paris Match, Sud Radio",2022-01-12,2022-01-13,1009,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Nicolas Dupont-Aignan,Debout la France,True,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,3,24,32,20,19,2,0,20220112_0113_ifp,IFOP,"Paris Match, Sud Radio",2022-01-12,2022-01-13,1009,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Eric Ciotti,,True,2021-12-04,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,6,24,28,12,27,3,0,20220112_0113_ifp,IFOP,"Paris Match, Sud Radio",2022-01-12,2022-01-13,1009,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Anne Hidalgo,,True,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,2,32,41,18,6,1,0,20220112_0113_ifp,IFOP,"Paris Match, Sud Radio",2022-01-12,2022-01-13,1009,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Christiane Taubira,Walwari,True,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,11,26,31,19,11,2,0,20220112_0113_ifp,IFOP,"Paris Match, Sud Radio",2022-01-12,2022-01-13,1009,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
